Nome,Sala,Serie,Português,Matemática,Ciências,História,Geografia,Inglês,Espanhol,Francês,Física,Química,Biologia,Filosofia,Sociologia,Artes,Música,Educação Física,Literatura
Aluno 1,A,1º Fundamental,7.3,6.2,9.8,7.7,9.1,7.1,7.5,,,,,,,,,,8.7,7.8,9.2,7.2
Aluno 2,B,2º Fundamental,8.3,7.9,8.1,8.7,8.4,7.5,7.2,,,,,,,,,,7.8,8.2,7.7,7.1
Aluno 3,C,3º Fundamental,8.5,8.8,7.4,8.2,8.7,8.5,8.1,,,,,,,,,,7.9,8.7,8.1,7.6
Aluno 4,A,4º Fundamental,7.5,7.1,8.2,7.8,7.2,6.7,7.5,,,,,,,,,,8.2,7.7,8.7,7.3
Aluno 5,B,5º Fundamental,7.2,7.7,8.7,7.3,7.5,8.2,6.8,,,,,,,,,,8.7,7.2,6.7,7.7
Aluno 6,C,6º Fundamental,9.2,6.8,7.2,8.1,8.7,7.2,7.5,,,,,,,,,,7.7,8.2,8.2,8.7
Aluno 7,A,1º EM,7.7,8.2,6.7,8.7,7.2,8.7,8.2,6.7,7.5,7.2,7.5,6.7,8.2,8.7,7.2,8.2,8.2
Aluno 8,B,2º EM,7.2,8.7,8.2,6.7,7.5,7.5,8.7,6.7,6.7,7.5,6.7,8.2,6.7,7.5,7.5,8.7,7.2
Aluno 9,C,3º EM,8.7,7.2,6.7,7.5,9.2,7.2,7.5,8.2,8.7,8.2,7.2,8.7,7.5,6.7,8.7,7.2,7.5
Aluno 10,A,1º EM,8.5,8.0,9.0,7.5,8.5,8.5,7.5,8.0,8.5,8.0,9.0,8.0,9.0,8.0,8.5,8.5,7.5
